Sponsor,Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,Slot 8,Slot 9,Slot 10,Slot 11,Slot 12,Slot 13,Slot 14,Slot 15,Slot 16
Takeoff,1000,1000,10000,3000,3000,2000,2000,2000,1000,1000,7000,3000,3000,2000,2000,2000
Yours,1000,1000,9000,2000,2000,2000,2000,2000,1000,1000,11000,2000,2000,2000,2000,2000
Autoreffen,1000,1000,30000,2000,2000,10000,10000,10000,2000,2000,10000,2000,2000,10000,10000,10000
AutoComplete,2000,2000,50000,5000,5000,10000,10000,10000,2000,2000,30000,5000,5000,10000,10000,10000
YellowMagic,1000,1000,30000,4000,4000,10000,10000,10000,1000,1000,9000,4000,4000,10000,10000,10000
GraphityArt,1000,1000,50000,7000,7000,15000,15000,15000,2000,2000,25000,7000,7000,15000,15000,15000
RConcept,2000,2000,70000,3000,3000,50000,50000,50000,1000,1000,37000,3000,3000,50000,50000,50000
SprintRacing,3000,3000,65000,4000,4000,45000,45000,45000,2000,2000,40000,4000,4000,45000,45000,45000
Presutige,5000,5000,188000,50000,50000,80000,80000,80000,5000,5000,75000,50000,50000,80000,80000,80000
Athlete,3000,3000,140000,70000,70000,110000,110000,110000,3000,3000,75000,70000,70000,110000,110000,110000
SS,4000,4000,70000,5000,5000,45000,45000,45000,4000,4000,45000,5000,5000,45000,45000,45000
AutoBahn,3000,3000,150000,90000,90000,45000,45000,45000,2000,2000,110000,90000,90000,45000,45000,45000
FrameMaster,3000,3000,138000,80000,80000,85000,85000,85000,3000,3000,85000,80000,80000,85000,85000,85000
Yamamato,3000,3000,60000,4000,4000,50000,50000,50000,3000,3000,50000,4000,4000,50000,50000,50000
KakinokiRacing,5000,5000,155000,85000,85000,120000,120000,120000,5000,5000,100000,85000,85000,120000,120000,120000
OMR,5000,5000,150000,90000,90000,100000,100000,100000,4000,4000,75000,90000,90000,100000,100000,100000
Briton,5000,5000,100000,6000,6000,75000,75000,75000,5000,5000,80000,6000,6000,75000,75000,75000
Strada,7000,7000,250000,110000,110000,125000,125000,125000,5000,5000,200000,110000,110000,125000,125000,125000
Hi-Fi,3000,3000,100000,65000,65000,70000,70000,70000,3000,3000,90000,65000,65000,70000,70000,70000
Artt,7000,7000,200000,125000,125000,140000,140000,140000,7000,7000,190000,125000,125000,140000,140000,140000
AkibaPrecision,2000,2000,30000,3000,3000,6000,6000,6000,2000,2000,8000,3000,3000,6000,6000,6000
TargaTop,1000,1000,25000,3000,3000,7000,7000,7000,1000,1000,8000,3000,3000,7000,7000,7000
SpeedLicense,1000,1000,80000,8000,8000,10000,10000,10000,2000,2000,15000,8000,8000,10000,10000,10000
ProSprint,3000,3000,100000,10000,10000,15000,15000,15000,3000,3000,25000,10000,10000,15000,15000,15000
GTYouth,1000,1000,50000,9000,9000,18000,18000,18000,1000,1000,30000,9000,9000,18000,18000,18000
WatanabeAutomobiles,9000,9000,190000,80000,80000,100000,100000,100000,7000,7000,110000,80000,80000,100000,100000,100000
Wellweiner,10000,10000,200000,90000,90000,100000,100000,100000,10000,10000,125000,90000,90000,100000,100000,100000
HighPerformer,8000,8000,180000,70000,70000,90000,90000,90000,8000,8000,100000,70000,70000,90000,90000,90000
Independent,5000,5000,280000,5000,5000,100000,100000,100000,5000,5000,188000,50000,50000,100000,100000,100000
SpeedGear,8000,8000,300000,70000,70000,130000,130000,130000,7000,7000,150000,70000,70000,130000,130000,130000
TerrorTune,35000,35000,350000,100000,100000,180000,180000,180000,35000,35000,200000,100000,100000,180000,180000,180000
Oneoff,5000,5000,14000,50000,50000,65000,65000,65000,5000,5000,75000,50000,50000,65000,65000,65000
S-Style,6000,6000,98000,45000,45000,50000,50000,50000,5000,5000,75000,45000,45000,50000,50000,50000
MagnesioZero,6000,6000,100000,50000,50000,70000,70000,70000,6000,6000,75000,50000,50000,70000,70000,70000
GambinoRacing,7000,7000,165000,65000,65000,80000,80000,80000,7000,7000,80000,65000,65000,80000,80000,80000
OmegaLine,9000,9000,100000,70000,70000,75000,75000,75000,8000,8000,90000,70000,70000,75000,75000,75000
TechnoSpeed,10000,10000,330000,72000,72000,165000,165000,165000,10000,10000,180000,72000,72000,165000,165000,165000
SilverCreek,20000,20000,500000,98000,98000,135000,135000,135000,20000,20000,250000,98000,98000,135000,135000,135000
Evergreen,50000,50000,620000,100000,100000,150000,150000,150000,30000,30000,350000,100000,100000,150000,150000,150000
Steiner,100000,100000,700000,220000,220000,250000,250000,250000,100000,100000,500000,220000,220000,250000,250000,250000